district_code,fuel_id,reg_year,total_amount
11620,1,2023,61453
11620,2,2023,39804
11620,3,2023,9935
11620,4,2023,186
11620,5,2023,5760
11620,6,2023,1355
11620,7,2023,73
11650,1,2023,98865
11650,2,2023,52437
11650,3,2023,6485
11650,4,2023,501
11650,5,2023,12464
11650,6,2023,4757
11650,7,2023,257
11680,1,2023,138438
11680,2,2023,66812
11680,3,2023,10176
11680,4,2023,228
11680,5,2023,18416
11680,6,2023,14026
11680,7,2023,219
11710,1,2023,131425
11710,2,2023,81891
11710,3,2023,15912
11710,4,2023,828
11710,5,2023,15172
11710,6,2023,3273
11710,7,2023,231
11740,1,2023,78637
11740,2,2023,50007
11740,3,2023,13384
11740,4,2023,186
11740,5,2023,8529
11740,6,2023,2271
11740,7,2023,246
11110,1,2024,25997
11110,2,2024,17091
11110,3,2024,2050
11110,4,2024,110
11110,5,2024,3486
11110,6,2024,1333
11110,7,2024,80
11140,1,2024,26598
11140,2,2024,18269
11140,3,2024,2497
11140,4,2024,22
11140,5,2024,3952
11140,6,2024,2455
11140,7,2024,59
11170,1,2024,40899
11170,2,2024,21853
11170,3,2024,3066
11170,4,2024,28
11170,5,2024,5847
11170,6,2024,1650
11170,7,2024,94
11200,1,2024,54812
11200,2,2024,32304
11200,3,2024,6715
11200,4,2024,288
11200,5,2024,7353
11200,6,2024,2847
11200,7,2024,71
11215,1,2024,50171
11215,2,2024,31978
11215,3,2024,6695
11215,4,2024,152
11215,5,2024,6546
11215,6,2024,1440
11215,7,2024,68
11230,1,2024,51780
11230,2,2024,34639
11230,3,2024,7725
11230,4,2024,45
11230,5,2024,6639
11230,6,2024,1650
11230,7,2024,69
11260,1,2024,55128
11260,2,2024,40308
11260,3,2024,12203
11260,4,2024,304
11260,5,2024,6209
11260,6,2024,2144
11260,7,2024,60
11290,1,2024,64063
11290,2,2024,38438
11290,3,2024,8230
11290,4,2024,682
11290,5,2024,8250
11290,6,2024,2095
11290,7,2024,73
11305,1,2024,36492
11305,2,2024,24877
11305,3,2024,6945
11305,4,2024,589
11305,5,2024,3800
11305,6,2024,1244
11305,7,2024,41
11320,1,2024,47038
11320,2,2024,30428
11320,3,2024,10187
11320,4,2024,287
11320,5,2024,5164
11320,6,2024,1597
11320,7,2024,46
11350,1,2024,78795
11350,2,2024,45738
11350,3,2024,14604
11350,4,2024,548
11350,5,2024,9798
11350,6,2024,2301
11350,7,2024,86
11380,1,2024,70807
11380,2,2024,41113
11380,3,2024,11414
11380,4,2024,589
11380,5,2024,8475
11380,6,2024,2224
11380,7,2024,134
11410,1,2024,48399
11410,2,2024,27577
11410,3,2024,6754
11410,4,2024,200
11410,5,2024,6730
11410,6,2024,1722
11410,7,2024,109
11440,1,2024,64791
11440,2,2024,37940
11440,3,2024,6771
11440,4,2024,226
11440,5,2024,9257
11440,6,2024,2501
11440,7,2024,185
11470,1,2024,78833
11470,2,2024,46097
11470,3,2024,11971
11470,4,2024,539
11470,5,2024,10441
11470,6,2024,2409
11470,7,2024,124
11500,1,2024,103386
11500,2,2024,64885
11500,3,2024,17674
11500,4,2024,311
11500,5,2024,13543
11500,6,2024,3859
11500,7,2024,269
11530,1,2024,70671
11530,2,2024,49847
11530,3,2024,11454
11530,4,2024,296
11530,5,2024,9135
11530,6,2024,5660
11530,7,2024,200
11545,1,2024,43159
11545,2,2024,34084
11545,3,2024,6945
11545,4,2024,378
11545,5,2024,5700
11545,6,2024,1414
